3.09	53.3772	0.0244	-0.8108	1.7502
3.1	53.6788	0.0237	-0.7743	1.5389
3.11	53.9809	0.023	-0.7069	0.9336
3.12	54.2833	0.0223	-0.6989	0.6606
3.13	54.5862	0.0215	-0.423	-0.1901
3.14	54.8895	0.0207	-0.3759	-0.6601
3.15	55.1932	0.0199	-0.4443	-0.1565
3.16	55.4974	0.0191	-0.3536	-0.0724
3.17	55.8019	0.0183	-0.44	0.1552
3.18	56.1069	0.0174	-0.2236	-0.2269
3.19	56.4123	0.0166	-0.1159	-0.8223
3.2	56.718	0.0157	0.1003	-1.3311
3.21	57.0242	0.0149	-0.0053	-0.9751
3.22	57.3308	0.014	0.2151	-1.0531
3.23	57.6377	0.0132	0.2704	-1.3456
3.24	57.9451	0.0123	0.3233	-1.2067
3.25	58.2528	0.0115	0.4329	-1.3105
3.26	58.5609	0.0107	0.5457	-1.5404
3.27	58.8694	0.0099	0.3781	-0.8897
3.28	59.1783	0.0092	0.4715	-0.6546
3.29	59.4875	0.0084	0.4267	-0.6595
3.3	59.7971	0.0077	0.5172	-0.7747
3.31	60.107	0.0069	0.3046	-0.2423
3.32	60.4174	0.0062	0.2883	0.1798
3.33	60.728	0.0055	0.2187	0.2065
3.34	61.039	0.0048	0.2681	-0.0005
3.35	61.3504	0.0042	0.2637	-0.2216
3.36	61.6621	0.0035	0.244	-0.1995
3.37	61.9742	0.0028	0.2085	-0.1005
3.38	62.2866	0.0022	0.1603	0.0426
3.39	62.5993	0.0015	0.0937	0.2279
3.4	62.9124	0.0009	-0.1732	1.0036
3.41	63.2255	0.0002	-0.2404	1.3783
3.42	63.5386	-0.0004	-0.2303	0.9992
3.43	63.851	-0.0011	-0.2899	0.8223
3.44	64.1624	-0.0017	-0.4724	1.2488
3.45	64.4724	-0.0024	-0.5923	1.637
3.46	64.781	-0.0031	-0.7061	0
3.47	65.0877	-0.0037	-0.8607	0
3.48	65.3926	-0.0044	-0.7422	0
3.49	65.6957	-0.0051	-0.8485	0
3.5	65.997	-0.0058	-0.7107	0
3.51	66.2964	-0.0064	-0.9121	0
3.52	66.5941	-0.0071	-0.7771	0
3.53	66.8899	-0.0078	-0.9002	0
3.54	67.184	-0.0084	-0.9394	0
3.55	67.4763	-0.0091	-0.9922	0
3.56	67.7669	-0.0098	-1.101	0
3.57	68.0557	-0.0105	-1.3184	0
3.58	68.3427	-0.0111	-1.4787	0
3.59	68.6281	-0.0118	-1.5783	0
3.6	68.9117	-0.0125	-1.4518	0
3.61	69.1936	-0.0131	-1.2931	0
3.62	69.4738	-0.0138	-1.4144	0
3.63	69.7523	-0.0145	-1.5731	0
3.64	70.0291	-0.0152	-1.7963	0
3.65	70.3042	-0.0158	-1.8311	0
3.66	70.5776	-0.0165	-2.0647	0
3.67	70.8494	-0.0172	-2.132	0
3.68	71.1196	-0.0178	-2.0792	0
3.69	71.3881	-0.0185	-2.2258	0
3.7	71.6549	-0.0192	-2.392	0
3.71	71.9201	-0.0199	-2.2995	0
3.72	72.1837	-0.0205	-2.1809	0
3.73	72.4457	-0.0212	-2.2033	0
3.74	72.7061	-0.0219	-2.2474	0
3.75	72.9649	-0.0225	-2.1263	0
3.76	73.2221	-0.0232	-2.0859	0
3.77	73.4777	-0.0239	-1.9469	0
3.78	73.7317	-0.0246	-1.9366	0
3.79	73.9841	-0.0252	-1.7975	0
3.8	74.235	-0.0259	-1.9792	0
3.81	74.4844	-0.0266	-2.1443	0
3.82	74.7322	-0.0272	-2.2293	0
3.83	74.9784	-0.0279	-2.3581	0
3.84	75.2231	-0.0286	-2.4946	0
3.85	75.4663	-0.0293	-2.5914	0
3.86	75.708	-0.0299	-2.4947	0
3.87	75.9481	-0.0306	-2.4177	0
3.88	76.1868	-0.0313	-2.5869	0
3.89	76.4239	-0.0319	-2.6995	0
3.9	76.6596	-0.0326	-2.8977	0
3.91	76.8938	-0.0333	-3.0168	0
3.92	77.1264	-0.0339	-3.0964	0
3.93	77.3577	-0.0346	-3.1427	0
3.94	77.5874	-0.0353	-3.124	0
3.95	77.8157	-0.036	-3.1606	0
3.96	78.0425	-0.0366	-3.0737	0
3.97	78.2679	-0.0373	-3.0802	0
3.98	78.4918	-0.038	-3.0468	0
3.99	78.7143	-0.0386	-2.9105	0
4.0	78.9353	-0.0393	-3.0448	0
4.01	79.155	-0.04	-2.9531	0
4.02	79.3732	-0.0407	-3.0684	0
4.03	79.59	-0.0413	-3.2694	0
4.04	79.8053	-0.042	-3.248	0
4.05	80.0193	-0.0427	-3.4831	0
4.06	80.2319	-0.0433	-3.5457	0
4.07	80.4431	-0.044	-3.3976	0
4.08	80.6529	-0.0447	-3.3803	0
4.09	80.8613	-0.0454	-3.3974	0
4.1	81.0683	-0.046	-3.2478	0
4.11	81.274	-0.0467	-3.3096	0
4.12	81.4783	-0.0474	-3.3355	0
4.13	81.6812	-0.048	-3.2047	0
4.14	81.8828	-0.0487	-3.2529	0
4.15	82.0831	-0.0494	-3.1656	0
4.16	82.2819	-0.0501	-3.1112	0
4.17	82.4795	-0.0507	-3.1979	0
4.18	82.6757	-0.0514	-3.1423	0
4.19	82.8705	-0.0521	-3.0506	0
4.2	83.0641	-0.0527	-3.1318	0
4.21	83.2563	-0.0534	-3.2876	0
4.22	83.4472	-0.0541	-3.3213	0
4.23	83.6368	-0.0548	-3.25	0
4.24	83.8251	-0.0554	-3.2509	0
4.25	84.012	-0.0561	-3.1545	0
4.26	84.1977	-0.0568	-3.3081	0
4.27	84.3821	-0.0574	-3.4807	0
4.28	84.5652	-0.0581	-3.4028	0
4.29	84.747	-0.0588	-3.3402	0
4.3	84.9275	-0.0595	-3.4704	0
4.31	85.1067	-0.0601	-3.5084	0
4.32	85.2847	-0.0608	-3.3809	0
4.33	85.4614	-0.0615	-3.3587	0
4.34	85.6368	-0.0621	-3.3961	0
4.35	85.811	-0.0628	-3.3644	0
4.36	85.9839	-0.0635	-3.4951	0
4.37	86.1555	-0.0642	-3.6755	0
4.38	86.3259	-0.0648	-3.6848	0
4.39	86.4951	-0.0655	-3.7294	0
4.4	86.663	-0.0662	-3.8607	0
4.41	86.8296	-0.0668	-3.9483	0
4.42	86.9951	-0.0675	-3.8489	0
4.43	87.1593	-0.0682	-3.855	0
4.44	87.3223	-0.0689	-3.9703	0
4.45	87.484	-0.0695	-4.0829	0
